=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     df_meteo_cluster-weka.filters.unsupervised.attribute.Remove-R1,4,12,14-15
Instances:    144908
Attributes:   10
              HORA
              CLASE SINIESTRO
              TIPO LUGAR
              GRAVEDAD
              TIPO PERSONA
              SEXO
              PERSONAS IMPLICADAS
              DIA_SEMANA
              LLUVIA
              Cluster
Test mode:    split 80.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 19.18 seconds


=== Classifier model for training split (115926 instances) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities
=== Predictions on test split ===

inst#,actual,predicted,error,prediction
23,1:'Solo Da̱os',1:Solo Da̱os,,0.861
24,1:'Solo Da̱os',1:Solo Da̱os,,0.94
25,1:'Solo Da̱os',1:Solo Da̱os,,0.82
26,1:'Solo Da̱os',1:Solo Da̱os,,0.94
27,1:'Solo Da̱os',1:Solo Da̱os,,0.936
28,1:'Solo Da̱os',1:Solo Da̱os,,0.933
29,1:'Solo Da̱os',1:Solo Da̱os,,0.854
30,1:'Solo Da̱os',1:Solo Da̱os,,0.995
31,1:'Solo Da̱os',1:Solo Da̱os,,0.933
32,1:'Solo Da̱os',1:Solo Da̱os,,0.947
33,1:'Solo Da̱os',1:Solo Da̱os,,0.906
34,2:'Con Heridos',1:Solo Da̱os,+,0.906
35,1:'Solo Da̱os',1:Solo Da̱os,,0.714
36,1:'Solo Da̱os',1:Solo Da̱os,,0.931
37,1:'Solo Da̱os',1:Solo Da̱os,,0.939
38,1:'Solo Da̱os',1:Solo Da̱os,,0.915
39,2:'Con Heridos',1:Solo Da̱os,+,0.918
40,1:'Solo Da̱os',1:Solo Da̱os,,0.856
41,1:'Solo Da̱os',1:Solo Da̱os,,0.946
42,1:'Solo Da̱os',1:Solo Da̱os,,0.931
43,1:'Solo Da̱os',1:Solo Da̱os,,0.75
44,1:'Solo Da̱os',1:Solo Da̱os,,0.79
45,1:'Solo Da̱os',1:Solo Da̱os,,0.962
46,1:'Solo Da̱os',1:Solo Da̱os,,0.539
47,1:'Solo Da̱os',1:Solo Da̱os,,0.91
48,1:'Solo Da̱os',1:Solo Da̱os,,0.893
49,1:'Solo Da̱os',1:Solo Da̱os,,0.861
50,2:'Con Heridos',2:Con Heridos,,0.787
51,1:'Solo Da̱os',1:Solo Da̱os,,0.501
52,1:'Solo Da̱os',1:Solo Da̱os,,0.567
53,1:'Solo Da̱os',1:Solo Da̱os,,0.931
54,2:'Con Heridos',1:Solo Da̱os,+,0.529
55,2:'Con Heridos',1:Solo Da̱os,+,0.852
56,1:'Solo Da̱os',1:Solo Da̱os,,0.861
57,1:'Solo Da̱os',1:Solo Da̱os,,0.71
58,1:'Solo Da̱os',1:Solo Da̱os,,0.94
59,1:'Solo Da̱os',1:Solo Da̱os,,0.94
60,2:'Con Heridos',1:Solo Da̱os,+,0.882
61,1:'Solo Da̱os',1:Solo Da̱os,,0.92
62,1:'Solo Da̱os',1:Solo Da̱os,,0.75
63,1:'Solo Da̱os',1:Solo Da̱os,,0.958
64,2:'Con Heridos',2:Con Heridos,,0.99
65,1:'Solo Da̱os',1:Solo Da̱os,,0.864
66,1:'Solo Da̱os',1:Solo Da̱os,,0.934
67,2:'Con Heridos',2:Con Heridos,,0.556
68,2:'Con Heridos',1:Solo Da̱os,+,0.94
69,1:'Solo Da̱os',1:Solo Da̱os,,0.927
70,1:'Solo Da̱os',1:Solo Da̱os,,0.788
71,1:'Solo Da̱os',1:Solo Da̱os,,0.993
72,2:'Con Heridos',2:Con Heridos,,0.824
73,1:'Solo Da̱os',1:Solo Da̱os,,1
74,1:'Solo Da̱os',1:Solo Da̱os,,0.851
75,1:'Solo Da̱os',1:Solo Da̱os,,0.978
76,1:'Solo Da̱os',1:Solo Da̱os,,0.812
77,2:'Con Heridos',2:Con Heridos,,0.657
78,1:'Solo Da̱os',1:Solo Da̱os,,0.947
79,1:'Solo Da̱os',1:Solo Da̱os,,1
80,1:'Solo Da̱os',1:Solo Da̱os,,1
81,1:'Solo Da̱os',1:Solo Da̱os,,0.961
82,2:'Con Heridos',2:Con Heridos,,0.501
83,1:'Solo Da̱os',1:Solo Da̱os,,1
84,1:'Solo Da̱os',1:Solo Da̱os,,0.906
85,1:'Solo Da̱os',1:Solo Da̱os,,0.94
86,2:'Con Heridos',2:Con Heridos,,0.709
87,2:'Con Heridos',1:Solo Da̱os,+,0.843
88,2:'Con Heridos',2:Con Heridos,,0.849
89,1:'Solo Da̱os',1:Solo Da̱os,,0.934
90,1:'Solo Da̱os',1:Solo Da̱os,,0.9
91,1:'Solo Da̱os',1:Solo Da̱os,,1
92,1:'Solo Da̱os',1:Solo Da̱os,,0.933
93,2:'Con Heridos',1:Solo Da̱os,+,0.88
94,2:'Con Heridos',2:Con Heridos,,0.503
95,2:'Con Heridos',2:Con Heridos,,1
96,2:'Con Heridos',2:Con Heridos,,0.666
97,2:'Con Heridos',2:Con Heridos,,1
98,2:'Con Heridos',2:Con Heridos,,0.771
99,1:'Solo Da̱os',1:Solo Da̱os,,0.917
100,2:'Con Heridos',1:Solo Da̱os,+,0.94
101,1:'Solo Da̱os',2:Con Heridos,+,0.682
102,2:'Con Heridos',2:Con Heridos,,0.674
103,1:'Solo Da̱os',1:Solo Da̱os,,0.93
104,2:'Con Heridos',1:Solo Da̱os,+,0.518
105,1:'Solo Da̱os',1:Solo Da̱os,,0.872
106,2:'Con Heridos',2:Con Heridos,,0.585
107,1:'Solo Da̱os',1:Solo Da̱os,,0.825
108,1:'Solo Da̱os',1:Solo Da̱os,,0.875
109,1:'Solo Da̱os',1:Solo Da̱os,,0.916
110,1:'Solo Da̱os',1:Solo Da̱os,,0.912
111,1:'Solo Da̱os',1:Solo Da̱os,,0.934
112,2:'Con Heridos',2:Con Heridos,,0.854
113,1:'Solo Da̱os',1:Solo Da̱os,,0.868
114,1:'Solo Da̱os',1:Solo Da̱os,,0.877
115,1:'Solo Da̱os',1:Solo Da̱os,,0.679
116,1:'Solo Da̱os',1:Solo Da̱os,,0.919
117,1:'Solo Da̱os',1:Solo Da̱os,,0.867
118,2:'Con Heridos',2:Con Heridos,,1
119,1:'Solo Da̱os',1:Solo Da̱os,,0.843
120,1:'Solo Da̱os',2:Con Heridos,+,0.511
121,2:'Con Heridos',2:Con Heridos,,0.938
122,1:'Solo Da̱os',1:Solo Da̱os,,0.775
123,2:'Con Heridos',2:Con Heridos,,0.918
124,1:'Solo Da̱os',2:Con Heridos,+,0.541
125,1:'Solo Da̱os',1:Solo Da̱os,,0.856
126,2:'Con Heridos',2:Con Heridos,,0.92
127,2:'Con Heridos',1:Solo Da̱os,+,0.876
128,2:'Con Heridos',2:Con Heridos,,0.784
129,1:'Solo Da̱os',1:Solo Da̱os,,0.856
130,1:'Solo Da̱os',1:Solo Da̱os,,0.942
131,2:'Con Heridos',2:Con Heridos,,0.991
132,1:'Solo Da̱os',1:Solo Da̱os,,0.962
133,2:'Con Heridos',2:Con Heridos,,1
134,1:'Solo Da̱os',1:Solo Da̱os,,0.927
135,2:'Con Heridos',2:Con Heridos,,1
136,1:'Solo Da̱os',1:Solo Da̱os,,0.84
137,2:'Con Heridos',2:Con Heridos,,0.98
138,1:'Solo Da̱os',1:Solo Da̱os,,0.739
139,1:'Solo Da̱os',1:Solo Da̱os,,0.875
140,1:'Solo Da̱os',1:Solo Da̱os,,0.944
141,1:'Solo Da̱os',1:Solo Da̱os,,0.701
142,2:'Con Heridos',1:Solo Da̱os,+,0.864
143,2:'Con Heridos',2:Con Heridos,,1
144,1:'Solo Da̱os',1:Solo Da̱os,,0.638
145,2:'Con Heridos',2:Con Heridos,,0.512
146,1:'Solo Da̱os',1:Solo Da̱os,,0.942
147,1:'Solo Da̱os',1:Solo Da̱os,,0.988
148,2:'Con Heridos',2:Con Heridos,,1
149,1:'Solo Da̱os',1:Solo Da̱os,,0.942
150,1:'Solo Da̱os',1:Solo Da̱os,,0.94
151,1:'Solo Da̱os',1:Solo Da̱os,,0.658
152,1:'Solo Da̱os',1:Solo Da̱os,,0.797
153,2:'Con Heridos',2:Con Heridos,,0.95
154,2:'Con Heridos',2:Con Heridos,,1
155,1:'Solo Da̱os',1:Solo Da̱os,,0.602
156,1:'Solo Da̱os',1:Solo Da̱os,,0.929
157,3:'Con Muertos',2:Con Heridos,+,0.52
158,1:'Solo Da̱os',1:Solo Da̱os,,0.924
159,2:'Con Heridos',1:Solo Da̱os,+,0.857
160,1:'Solo Da̱os',1:Solo Da̱os,,0.845
161,1:'Solo Da̱os',1:Solo Da̱os,,0.926
162,1:'Solo Da̱os',1:Solo Da̱os,,0.93
163,1:'Solo Da̱os',1:Solo Da̱os,,0.727
164,1:'Solo Da̱os',1:Solo Da̱os,,0.942
165,2:'Con Heridos',2:Con Heridos,,0.757
166,1:'Solo Da̱os',1:Solo Da̱os,,0.927
167,2:'Con Heridos',2:Con Heridos,,1
168,1:'Solo Da̱os',1:Solo Da̱os,,0.904
169,1:'Solo Da̱os',1:Solo Da̱os,,0.917
170,2:'Con Heridos',1:Solo Da̱os,+,0.65
171,1:'Solo Da̱os',1:Solo Da̱os,,0.939
172,1:'Solo Da̱os',1:Solo Da̱os,,0.93
173,1:'Solo Da̱os',1:Solo Da̱os,,0.931
174,1:'Solo Da̱os',1:Solo Da̱os,,0.745
175,1:'Solo Da̱os',1:Solo Da̱os,,0.935
176,2:'Con Heridos',1:Solo Da̱os,+,0.604
177,1:'Solo Da̱os',1:Solo Da̱os,,0.932
178,1:'Solo Da̱os',1:Solo Da̱os,,0.819
179,1:'Solo Da̱os',1:Solo Da̱os,,0.722
180,2:'Con Heridos',2:Con Heridos,,1
181,1:'Solo Da̱os',1:Solo Da̱os,,0.875
182,2:'Con Heridos',2:Con Heridos,,1
183,1:'Solo Da̱os',1:Solo Da̱os,,0.871
184,2:'Con Heridos',2:Con Heridos,,0.58
185,2:'Con Heridos',1:Solo Da̱os,+,0.84
186,2:'Con Heridos',1:Solo Da̱os,+,0.94
187,2:'Con Heridos',2:Con Heridos,,1
188,1:'Solo Da̱os',1:Solo Da̱os,,0.803
189,1:'Solo Da̱os',1:Solo Da̱os,,0.904
190,2:'Con Heridos',1:Solo Da̱os,+,0.728
191,1:'Solo Da̱os',1:Solo Da̱os,,0.892
192,1:'Solo Da̱os',1:Solo Da̱os,,0.857
193,1:'Solo Da̱os',1:Solo Da̱os,,0.927
194,2:'Con Heridos',1:Solo Da̱os,+,0.692
195,1:'Solo Da̱os',1:Solo Da̱os,,0.702
196,2:'Con Heridos',1:Solo Da̱os,+,0.565
197,1:'Solo Da̱os',1:Solo Da̱os,,0.94
198,1:'Solo Da̱os',1:Solo Da̱os,,0.861
199,2:'Con Heridos',2:Con Heridos,,1
200,1:'Solo Da̱os',1:Solo Da̱os,,0.816
201,2:'Con Heridos',2:Con Heridos,,0.701
202,1:'Solo Da̱os',1:Solo Da̱os,,0.931
203,1:'Solo Da̱os',1:Solo Da̱os,,0.943
204,1:'Solo Da̱os',1:Solo Da̱os,,0.915
205,1:'Solo Da̱os',1:Solo Da̱os,,1
206,2:'Con Heridos',2:Con Heridos,,0.844
207,2:'Con Heridos',2:Con Heridos,,0.799
208,1:'Solo Da̱os',1:Solo Da̱os,,0.927
209,2:'Con Heridos',1:Solo Da̱os,+,0.889
210,1:'Solo Da̱os',1:Solo Da̱os,,0.926
211,2:'Con Heridos',1:Solo Da̱os,+,0.498
212,1:'Solo Da̱os',1:Solo Da̱os,,0.872
213,2:'Con Heridos',1:Solo Da̱os,+,0.783
214,1:'Solo Da̱os',1:Solo Da̱os,,0.935
215,1:'Solo Da̱os',1:Solo Da̱os,,0.924
216,1:'Solo Da̱os',1:Solo Da̱os,,1
217,2:'Con Heridos',2:Con Heridos,,1
218,1:'Solo Da̱os',1:Solo Da̱os,,0.912
219,1:'Solo Da̱os',1:Solo Da̱os,,0.921
220,1:'Solo Da̱os',1:Solo Da̱os,,0.742
221,1:'Solo Da̱os',1:Solo Da̱os,,0.906
222,1:'Solo Da̱os',2:Con Heridos,+,0.725
223,2:'Con Heridos',2:Con Heridos,,0.596
224,2:'Con Heridos',2:Con Heridos,,1
225,1:'Solo Da̱os',1:Solo Da̱os,,0.943
226,1:'Solo Da̱os',1:Solo Da̱os,,0.93
227,1:'Solo Da̱os',1:Solo Da̱os,,0.922
228,1:'Solo Da̱os',1:Solo Da̱os,,0.951
229,2:'Con Heridos',1:Solo Da̱os,+,0.837
230,1:'Solo Da̱os',1:Solo Da̱os,,0.924
231,1:'Solo Da̱os',1:Solo Da̱os,,0.692
232,1:'Solo Da̱os',1:Solo Da̱os,,0.929
233,1:'Solo Da̱os',1:Solo Da̱os,,0.925
234,1:'Solo Da̱os',1:Solo Da̱os,,0.946
235,1:'Solo Da̱os',1:Solo Da̱os,,0.889
236,2:'Con Heridos',2:Con Heridos,,1
237,1:'Solo Da̱os',1:Solo Da̱os,,0.904
238,1:'Solo Da̱os',1:Solo Da̱os,,0.861
239,2:'Con Heridos',2:Con Heridos,,1
240,1:'Solo Da̱os',1:Solo Da̱os,,0.928
241,1:'Solo Da̱os',1:Solo Da̱os,,0.931
242,1:'Solo Da̱os',1:Solo Da̱os,,0.847
243,2:'Con Heridos',1:Solo Da̱os,+,0.637
244,1:'Solo Da̱os',1:Solo Da̱os,,0.927
245,1:'Solo Da̱os',1:Solo Da̱os,,0.946
246,1:'Solo Da̱os',1:Solo Da̱os,,0.9
247,1:'Solo Da̱os',1:Solo Da̱os,,0.758
248,2:'Con Heridos',2:Con Heridos,,0.94
249,1:'Solo Da̱os',1:Solo Da̱os,,0.791
250,1:'Solo Da̱os',1:Solo Da̱os,,0.923
251,1:'Solo Da̱os',1:Solo Da̱os,,0.816
252,1:'Solo Da̱os',1:Solo Da̱os,,0.734
253,1:'Solo Da̱os',2:Con Heridos,+,0.925
254,1:'Solo Da̱os',1:Solo Da̱os,,0.906
255,1:'Solo Da̱os',1:Solo Da̱os,,0.924
256,1:'Solo Da̱os',1:Solo Da̱os,,0.855
257,2:'Con Heridos',1:Solo Da̱os,+,0.966
258,1:'Solo Da̱os',1:Solo Da̱os,,0.929
259,1:'Solo Da̱os',1:Solo Da̱os,,0.835
260,1:'Solo Da̱os',1:Solo Da̱os,,0.918
261,1:'Solo Da̱os',1:Solo Da̱os,,0.868
262,1:'Solo Da̱os',1:Solo Da̱os,,0.951
263,2:'Con Heridos',1:Solo Da̱os,+,0.845
264,1:'Solo Da̱os',1:Solo Da̱os,,0.904
265,2:'Con Heridos',1:Solo Da̱os,+,0.865
266,1:'Solo Da̱os',1:Solo Da̱os,,0.947
267,1:'Solo Da̱os',1:Solo Da̱os,,0.933
268,1:'Solo Da̱os',1:Solo Da̱os,,0.94
269,1:'Solo Da̱os',1:Solo Da̱os,,0.947
270,1:'Solo Da̱os',1:Solo Da̱os,,0.865
271,1:'Solo Da̱os',1:Solo Da̱os,,0.539
272,1:'Solo Da̱os',1:Solo Da̱os,,0.932
273,2:'Con Heridos',2:Con Heridos,,1
274,1:'Solo Da̱os',1:Solo Da̱os,,0.984
275,1:'Solo Da̱os',1:Solo Da̱os,,1
276,2:'Con Heridos',1:Solo Da̱os,+,0.704
277,1:'Solo Da̱os',1:Solo Da̱os,,0.918
278,2:'Con Heridos',2:Con Heridos,,0.476
279,1:'Solo Da̱os',1:Solo Da̱os,,0.816
280,1:'Solo Da̱os',1:Solo Da̱os,,0.877
281,1:'Solo Da̱os',1:Solo Da̱os,,0.947
282,1:'Solo Da̱os',1:Solo Da̱os,,0.843
283,1:'Solo Da̱os',1:Solo Da̱os,,0.951
284,1:'Solo Da̱os',2:Con Heridos,+,0.501
285,1:'Solo Da̱os',1:Solo Da̱os,,0.725
286,2:'Con Heridos',1:Solo Da̱os,+,0.956
287,1:'Solo Da̱os',1:Solo Da̱os,,0.613
288,2:'Con Heridos',2:Con Heridos,,1
289,1:'Solo Da̱os',1:Solo Da̱os,,0.882
290,1:'Solo Da̱os',1:Solo Da̱os,,0.876
291,1:'Solo Da̱os',1:Solo Da̱os,,0.912
292,2:'Con Heridos',2:Con Heridos,,0.446
293,2:'Con Heridos',2:Con Heridos,,0.711
294,2:'Con Heridos',2:Con Heridos,,0.936
295,1:'Solo Da̱os',1:Solo Da̱os,,0.492
296,2:'Con Heridos',1:Solo Da̱os,+,0.845
297,1:'Solo Da̱os',1:Solo Da̱os,,0.825
298,2:'Con Heridos',2:Con Heridos,,1
299,2:'Con Heridos',2:Con Heridos,,1
300,1:'Solo Da̱os',1:Solo Da̱os,,0.94
301,2:'Con Heridos',1:Solo Da̱os,+,0.842
302,2:'Con Heridos',2:Con Heridos,,0.924
303,1:'Solo Da̱os',1:Solo Da̱os,,0.586
304,2:'Con Heridos',2:Con Heridos,,1
305,2:'Con Heridos',1:Solo Da̱os,+,0.582
306,1:'Solo Da̱os',1:Solo Da̱os,,0.937
307,1:'Solo Da̱os',1:Solo Da̱os,,0.855
308,1:'Solo Da̱os',2:Con Heridos,+,0.575
309,1:'Solo Da̱os',2:Con Heridos,+,0.646
310,1:'Solo Da̱os',1:Solo Da̱os,,0.918
311,1:'Solo Da̱os',1:Solo Da̱os,,0.53
312,1:'Solo Da̱os',1:Solo Da̱os,,0.805
313,1:'Solo Da̱os',1:Solo Da̱os,,0.729
314,1:'Solo Da̱os',1:Solo Da̱os,,0.947
315,2:'Con Heridos',1:Solo Da̱os,+,0.917
316,1:'Solo Da̱os',1:Solo Da̱os,,0.904
317,1:'Solo Da̱os',1:Solo Da̱os,,0.993
318,2:'Con Heridos',1:Solo Da̱os,+,0.659
319,2:'Con Heridos',2:Con Heridos,,0.993
320,2:'Con Heridos',1:Solo Da̱os,+,0.706
321,1:'Solo Da̱os',1:Solo Da̱os,,0.944
322,1:'Solo Da̱os',1:Solo Da̱os,,0.927
323,1:'Solo Da̱os',1:Solo Da̱os,,0.927
324,1:'Solo Da̱os',1:Solo Da̱os,,0.94
325,1:'Solo Da̱os',1:Solo Da̱os,,0.801
326,2:'Con Heridos',2:Con Heridos,,0.829
327,1:'Solo Da̱os',1:Solo Da̱os,,0.847
328,1:'Solo Da̱os',1:Solo Da̱os,,0.585
329,2:'Con Heridos',2:Con Heridos,,0.99
330,1:'Solo Da̱os',1:Solo Da̱os,,0.658
331,1:'Solo Da̱os',1:Solo Da̱os,,0.94
332,2:'Con Heridos',2:Con Heridos,,0.773
333,1:'Solo Da̱os',1:Solo Da̱os,,0.967
334,2:'Con Heridos',1:Solo Da̱os,+,0.712
335,2:'Con Heridos',1:Solo Da̱os,+,0.748
336,2:'Con Heridos',2:Con Heridos,,0.825
337,1:'Solo Da̱os',1:Solo Da̱os,,0.767
338,1:'Solo Da̱os',1:Solo Da̱os,,0.93
339,2:'Con Heridos',2:Con Heridos,,1
340,2:'Con Heridos',1:Solo Da̱os,+,0.602
341,1:'Solo Da̱os',1:Solo Da̱os,,0.957
342,1:'Solo Da̱os',1:Solo Da̱os,,0.94
343,2:'Con Heridos',2:Con Heridos,,0.87
344,1:'Solo Da̱os',1:Solo Da̱os,,0.857
345,2:'Con Heridos',2:Con Heridos,,0.59
346,2:'Con Heridos',1:Solo Da̱os,+,0.912
347,1:'Solo Da̱os',2:Con Heridos,+,0.694
348,2:'Con Heridos',2:Con Heridos,,1
349,2:'Con Heridos',2:Con Heridos,,1
350,2:'Con Heridos',2:Con Heridos,,1
351,1:'Solo Da̱os',1:Solo Da̱os,,0.947
352,1:'Solo Da̱os',1:Solo Da̱os,,0.843
353,1:'Solo Da̱os',1:Solo Da̱os,,0.94
354,1:'Solo Da̱os',1:Solo Da̱os,,0.934
355,1:'Solo Da̱os',1:Solo Da̱os,,0.637
356,1:'Solo Da̱os',1:Solo Da̱os,,0.933
357,1:'Solo Da̱os',1:Solo Da̱os,,0.951
358,1:'Solo Da̱os',1:Solo Da̱os,,0.648
359,2:'Con Heridos',2:Con Heridos,,1
360,1:'Solo Da̱os',1:Solo Da̱os,,0.99
361,1:'Solo Da̱os',1:Solo Da̱os,,0.929
362,1:'Solo Da̱os',1:Solo Da̱os,,0.92
363,1:'Solo Da̱os',1:Solo Da̱os,,0.963
364,1:'Solo Da̱os',1:Solo Da̱os,,0.939
365,2:'Con Heridos',2:Con Heridos,,1
366,1:'Solo Da̱os',1:Solo Da̱os,,0.927
367,2:'Con Heridos',2:Con Heridos,,1
368,1:'Solo Da̱os',1:Solo Da̱os,,0.819
369,2:'Con Heridos',2:Con Heridos,,0.725
370,1:'Solo Da̱os',1:Solo Da̱os,,0.926
371,1:'Solo Da̱os',1:Solo Da̱os,,0.942
372,1:'Solo Da̱os',1:Solo Da̱os,,0.944
373,1:'Solo Da̱os',1:Solo Da̱os,,0.88
374,2:'Con Heridos',2:Con Heridos,,1
375,1:'Solo Da̱os',1:Solo Da̱os,,0.825
376,1:'Solo Da̱os',1:Solo Da̱os,,0.931
377,1:'Solo Da̱os',1:Solo Da̱os,,0.947
378,1:'Solo Da̱os',2:Con Heridos,+,0.53
379,1:'Solo Da̱os',1:Solo Da̱os,,0.927
380,1:'Solo Da̱os',1:Solo Da̱os,,0.951
381,1:'Solo Da̱os',1:Solo Da̱os,,0.863
382,1:'Solo Da̱os',1:Solo Da̱os,,0.6
383,1:'Solo Da̱os',1:Solo Da̱os,,0.924
384,1:'Solo Da̱os',1:Solo Da̱os,,0.837
385,1:'Solo Da̱os',1:Solo Da̱os,,0.94
386,1:'Solo Da̱os',1:Solo Da̱os,,0.503
387,1:'Solo Da̱os',1:Solo Da̱os,,0.947
388,1:'Solo Da̱os',1:Solo Da̱os,,0.942
389,1:'Solo Da̱os',1:Solo Da̱os,,0.933
390,1:'Solo Da̱os',1:Solo Da̱os,,0.84
391,2:'Con Heridos',2:Con Heridos,,0.742
392,1:'Solo Da̱os',2:Con Heridos,+,0.9
393,2:'Con Heridos',2:Con Heridos,,0.941
394,2:'Con Heridos',1:Solo Da̱os,+,0.663
395,1:'Solo Da̱os',1:Solo Da̱os,,0.933
396,1:'Solo Da̱os',1:Solo Da̱os,,0.942
397,2:'Con Heridos',2:Con Heridos,,0.544
398,1:'Solo Da̱os',1:Solo Da̱os,,0.942
399,1:'Solo Da̱os',1:Solo Da̱os,,0.93
400,1:'Solo Da̱os',1:Solo Da̱os,,0.931
401,1:'Solo Da̱os',1:Solo Da̱os,,0.947
402,1:'Solo Da̱os',2:Con Heridos,+,0.878
403,1:'Solo Da̱os',1:Solo Da̱os,,0.96
404,1:'Solo Da̱os',1:Solo Da̱os,,0.931
405,1:'Solo Da̱os',1:Solo Da̱os,,0.923
406,1:'Solo Da̱os',1:Solo Da̱os,,0.906
407,1:'Solo Da̱os',1:Solo Da̱os,,0.917
408,1:'Solo Da̱os',1:Solo Da̱os,,0.818
409,1:'Solo Da̱os',1:Solo Da̱os,,1
